14:41:29.154	SERVER	admin	OK	Server was started (port: 1984).
14:59:29.260	127.0.0.1:63803	admin	OK	EXEC[0]	4.99 ms
14:59:29.260	127.0.0.1:63803	admin	OK	CLOSE[0]	0.07 ms
14:59:29.261	127.0.0.1:63803	admin	REQUEST	EXIT	0.37 ms
14:59:29.261	127.0.0.1:63803	admin	OK		0.16 ms
14:59:41.681	127.0.0.1:63806	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.16 ms
14:59:41.686	127.0.0.1:63806	admin	OK	EXEC[0]	4.73 ms
14:59:41.686	127.0.0.1:63806	admin	OK	CLOSE[0]	0.06 ms
14:59:41.687	127.0.0.1:63806	admin	REQUEST	EXIT	0.36 ms
14:59:41.687	127.0.0.1:63806	admin	OK		0.15 ms
15:01:06.750	127.0.0.1:63825	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.14 ms
15:01:06.755	127.0.0.1:63825	admin	OK	EXEC[0]	4.81 ms
15:01:06.755	127.0.0.1:63825	admin	OK	CLOSE[0]	0.06 ms
15:01:06.756	127.0.0.1:63825	admin	REQUEST	EXIT	0.34 ms
15:01:06.756	127.0.0.1:63825	admin	OK		0.19 ms
15:06:25.976	SERVER	admin	OK	Server was stopped (port: 1984).
15:24:58.710	SERVER	admin	OK	Server was started (port: 1984).
15:26:14.019	127.0.0.1:64199	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	4.82 ms
15:26:14.106	127.0.0.1:64199	admin	REQUEST	EXEC[0]	86.75 ms
15:26:14.106	127.0.0.1:64199	admin	ERROR	Stopped at ., 1/65: [XQST0059] Could not retrieve module: /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/music.xqm.	0.14 ms
15:26:14.133	127.0.0.1:64199	admin	REQUEST	EXIT	25.87 ms
15:26:14.133	127.0.0.1:64199	admin	OK		0.58 ms
15:27:50.568	127.0.0.1:64223	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.24 ms
15:27:50.569	127.0.0.1:64223	admin	REQUEST	EXEC[0]	0.86 ms
15:27:50.570	127.0.0.1:64223	admin	ERROR	Stopped at ., 1/65: [XQST0059] Could not retrieve module: /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/music.xqm.	0.19 ms
15:27:50.571	127.0.0.1:64223	admin	REQUEST	EXIT	0.8 ms
15:27:50.571	127.0.0.1:64223	admin	OK		0.48 ms
15:27:59.641	SERVER	admin	OK	Server was stopped (port: 1984).
15:28:43.571	SERVER	admin	OK	Server was started (port: 1984).
15:28:49.784	127.0.0.1:64249	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	5.52 ms
15:28:50.413	127.0.0.1:64249	admin	OK	EXEC[0]	628.63 ms
15:28:50.414	127.0.0.1:64249	admin	OK	CLOSE[0]	0.14 ms
15:28:50.434	127.0.0.1:64249	admin	REQUEST	EXIT	20.06 ms
15:28:50.434	127.0.0.1:64249	admin	OK		0.42 ms
15:32:20.158	127.0.0.1:64283	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.28 ms
15:32:20.166	127.0.0.1:64283	admin	OK	EXEC[0]	7.63 ms
15:32:20.167	127.0.0.1:64283	admin	OK	CLOSE[0]	0.1 ms
15:32:20.167	127.0.0.1:64283	admin	REQUEST	EXIT	0.43 ms
15:32:20.167	127.0.0.1:64283	admin	OK		0.2 ms
15:32:34.712	127.0.0.1:64286	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.16 ms
15:32:34.719	127.0.0.1:64286	admin	OK	EXEC[0]	6.62 ms
15:32:34.719	127.0.0.1:64286	admin	OK	CLOSE[0]	0.13 ms
15:32:34.720	127.0.0.1:64286	admin	REQUEST	EXIT	0.66 ms
15:32:34.721	127.0.0.1:64286	admin	OK		0.31 ms
15:32:36.002	127.0.0.1:64292	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.18 ms
15:32:36.010	127.0.0.1:64292	admin	OK	EXEC[0]	7.61 ms
15:32:36.010	127.0.0.1:64292	admin	OK	CLOSE[0]	0.1 ms
15:32:36.011	127.0.0.1:64292	admin	REQUEST	EXIT	0.58 ms
15:32:36.012	127.0.0.1:64292	admin	OK		0.32 ms
15:33:02.935	127.0.0.1:64305	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.14 ms
15:33:02.942	127.0.0.1:64305	admin	OK	EXEC[0]	6.25 ms
15:33:02.942	127.0.0.1:64305	admin	OK	CLOSE[0]	0.2 ms
15:33:02.943	127.0.0.1:64305	admin	REQUEST	EXIT	0.46 ms
15:33:02.943	127.0.0.1:64305	admin	OK		0.2 ms
15:36:55.973	127.0.0.1:64365	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.15 ms
15:36:55.980	127.0.0.1:64365	admin	OK	EXEC[0]	6.13 ms
15:36:55.980	127.0.0.1:64365	admin	OK	CLOSE[0]	0.1 ms
15:36:55.981	127.0.0.1:64365	admin	REQUEST	EXIT	0.46 ms
15:36:55.981	127.0.0.1:64365	admin	OK		0.2 ms
15:38:48.674	127.0.0.1:64391	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.15 ms
15:38:48.680	127.0.0.1:64391	admin	OK	EXEC[0]	6.1 ms
15:38:48.680	127.0.0.1:64391	admin	OK	CLOSE[0]	0.12 ms
15:38:48.681	127.0.0.1:64391	admin	REQUEST	EXIT	0.61 ms
15:38:48.682	127.0.0.1:64391	admin	OK		0.31 ms
